Posted,Title,URL
,"Progressive Enhancement reading list, draft 1 – QuirksMode",http://www.quirksmode.org/blog/archives/2021/02/progressive_enh.html
,Loading and replacing HTML parts with HTML – Just Markup,https://justmarkup.com/notes/2020-12-28-loading-and-replacing-html-parts-with-html/
,"Responsible, Conditional Loading – CSS-Tricks",https://css-tricks.com/responsible-conditional-loading/
,Adactio: Journal—Clean advertising,https://adactio.com/journal/17658
,Alt-Text as Poetry,https://alt-text-as-poetry.net/
,HTML Forms: How (and Why) to Prevent Double Form Submissions – Bram.us,https://www.bram.us/2020/11/04/preventing-double-form-submissions/
,Core Web Vital Tooling – CSS-Tricks,https://css-tricks.com/core-web-vital-tooling/
,"min(), max(), and clamp(): Three Logical CSS Functions to Use Today",https://una.im/2020/10/14/min-max-clamp/
,Kinopio,https://kinopio.club/
,The Pursuit of Appiness – Infrequently Noted,https://infrequently.org/2020/09/the-pursuit-of-appiness/
,A declarative Web Share API – Adactio,https://adactio.com/journal/17398
,Tone of Voice and User Experience – UX Magazine,https://uxmag.com/articles/tone-of-voice-and-user-experience
,CMD+Z for Git is Here – CSS-Tricks,https://css-tricks.com/cmdz-for-git-is-here/
,For Wide Review: Making Content Usable for People with Cognitive and Learning Disabilities – W3C,https://www.w3.org/blog/news/archives/8643
,An Introduction To Stimulus.js – Smashing Magazine,https://www.smashingmagazine.com/2020/07/introduction-stimulusjs/
,Ten modern layouts in one line of CSS,https://una.im/1linelayouts/
,Platform Adjacency Theory – Infrequently Noted,https://infrequently.org/2020/06/platform-adjacency-theory/
,Feature-Policy – MDN Web Docs,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy
,Navigating the Seattle startup ecosystem – GeekWire,https://www.geekwire.com/2025/navigating-the-seattle-startup-ecosystem-a-guide-for-microsoft-and-amazon-execs/
,Why I'm Betting Against AI Agents in 2025 (Despite Building Them),https://utkarshkanwat.com/writing/betting-against-agents/
,Transform Digital Accessibility from Reactive to Proactive – Deque,https://www.deque.com/blog/transform-digital-accessibility-from-a-reactive-break-fix-to-a-proactive-strategy/
,What Does a Board of Directors Do? – Anil Dash,https://www.anildash.com/2024/06/20/dash-board/
,Dona Sarkar on AI (LinkedIn),https://www.linkedin.com/posts/donasarkar_ai-ugcPost-7123192838695071745-vILF
,Rest of World – Reporting Global Tech Stories,https://restofworld.org/
,Dear White Male Leaders Of Any Tech Organization – POCIT,https://peopleofcolorintech.com/articles/dear-white-male-leaders-of-any-tech-organization/
